"UsageDateTime";"ResourceGroup";"ResourceLocation";"MeterCategory";"MeterSubcategory";"MeterName";"InstanceID";"UsageQuantity";"ResourceRate";"PreTaxCost";"Currency"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,033336";"8,09568";"0,26987758848";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-DataDisk";"0,031947";"8,09568";"0,25863268896";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"E10 Disks";"BackupAzureVM-OSDisk";"0,031947";"8,09568";"0,25863268896";"EUR"
"2019-04-01";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"1,354734";"0,0404784";"0,0548374647456";"EUR"
"2019-04-02";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"1,694862";"0,0404784";"0,0686053019808";"EUR"
"2019-04-03";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"2,037444";"0,0404784";"0,0824724732096";"EUR"
"2019-04-04";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"2,380652";"0,0404784";"0,0963649839168";"EUR"
"2019-04-05";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"2,721684";"0,0404784";"0,1101694136256";"EUR"
"2019-04-06";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"3,06672";"0,0404784";"0,124135918848";"EUR"
"2019-04-07";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"3,410322";"0,0404784";"0,1380443780448";"EUR"
"2019-04-08";"Sceno-BackupAzureVM";"EU North";"Backup";"";"GRS Data Stored";"BackupAzureVM-Vault";"3,754344";"0,0404784";"0,1519698381696";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-01";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,02757";"0,1113156";"0,003068971092";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-02";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,026268";"0,1113156";"0,0029240381808";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-03";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,027098";"0,1113156";"0,0030164301288";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,888744";"0,1113156";"0,0989310716064";"EUR"
"2019-04-04";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,02813";"0,1113156";"0,003131307828";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,8898";"0,1113156";"0,09904862088";"EUR"
"2019-04-05";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,032212";"0,1113156";"0,0035856981072";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,890616";"0,1113156";"0,0991394544096";"EUR"
"2019-04-06";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,036254";"0,1113156";"0,0040356357624";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,890376";"0,1113156";"0,0991127386656";"EUR"
"2019-04-07";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,036882";"0,1113156";"0,0041055419592";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-DataDisk";"0,861203";"0,1113156";"0,0958653286668";"EUR"
"2019-04-08";"SCENO-BACKUPAZUREVM";"EU North";"Storage";"Standard SSD Managed Disks";"LRS Snapshots";"BackupAzureVM-OSDisk";"0,03779";"0,1113156";"0,004206616524";"EUR"
